generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.16684782608695653,0.07533230437577745,0.09239130434782605,0.40760869565217395,4.6,2.395281557014486,1.0,9.0,100.0,46.0,3.3043478260869565
2,0.16195652173913044,0.07418090655247335,0.09239130434782605,0.3695652173913043,3.61,1.9326801404403486,1.0,9.0,88.88888888888889,27.0,3.4782608695652173
3,0.13016304347826088,0.007777589387429773,0.09239130434782605,0.15760869565217395,3.0,0.5124707431905383,1.0,5.0,100.0,5.0,3.6141304347826084
4,0.1302717391304348,0.010936743438046544,0.09239130434782605,0.15760869565217395,2.98,0.69602043392737,1.0,5.0,100.0,7.000000000000001,3.6195652173913047
5,0.12831521739130433,0.020201066198522397,0.09239130434782605,0.1630434782608695,3.12,1.1744760275944075,1.0,5.0,100.0,13.0,3.6358695652173916
6,0.12739130434782608,0.039654844985503514,0.09239130434782605,0.3967391304347826,3.13,1.721257468459403,1.0,5.0,100.0,11.0,3.641304347826087
7,0.1252173913043478,0.031528742426182095,0.09239130434782605,0.15760869565217395,2.96,1.917068469082812,1.0,5.0,100.0,6.0,3.641304347826087
8,0.1265217391304348,0.03097657539582659,0.09239130434782605,0.15760869565217395,2.88,1.8817571843917855,1.0,5.0,100.0,6.0,3.641304347826087
9,0.1216304347826087,0.030488259999928245,0.09239130434782605,0.15760869565217395,3.18,1.8498157156371504,1.0,5.0,100.0,6.0,3.641304347826087
10,0.12505434782608696,0.02967211124784373,0.09239130434782605,0.15760869565217395,2.93,1.7936757586790115,1.0,5.0,100.0,5.0,3.641304347826087
11,0.12679347826086956,0.02961736170906202,0.09239130434782605,0.15760869565217395,2.83,1.7755636464588544,1.0,5.0,100.0,5.0,3.641304347826087
12,0.12630434782608696,0.0287905167280569,0.09239130434782605,0.15760869565217395,2.86,1.7116357584769517,1.0,5.0,100.0,5.0,3.641304347826087
13,0.12635869565217392,0.028699750425997136,0.09239130434782605,0.15760869565217395,2.87,1.7094803983442548,1.0,5.0,100.0,5.0,3.641304347826087
14,0.13065217391304348,0.028611720322318335,0.09239130434782605,0.15760869565217395,2.64,1.6908547835310692,1.0,5.0,100.0,5.0,3.641304347826087
15,0.12793478260869567,0.028302433878676873,0.09239130434782605,0.15760869565217395,2.76,1.670420016134574,1.0,5.0,100.0,5.0,3.641304347826087
16,0.12831521739130436,0.02822299707203363,0.09239130434782605,0.15760869565217395,2.77,1.662752980676166,1.0,5.0,100.0,5.0,3.641304347826087
17,0.12635869565217392,0.02757580498419998,0.09239130434782605,0.15760869565217395,2.91,1.6149240842775856,1.0,5.0,100.0,5.0,3.641304347826087
18,0.12663043478260871,0.027184890185127177,0.09239130434782605,0.15760869565217395,2.88,1.5717197683757211,1.0,5.0,100.0,5.0,3.641304347826087
19,0.12749999999999997,0.02757629185041672,0.09239130434782605,0.15760869565217395,2.76,1.6088141061921446,1.0,5.0,100.0,5.0,3.641304347826087
20,0.12614130434782608,0.02719361385109256,0.09239130434782605,0.15760869565217395,2.87,1.5612414122981582,1.0,5.0,100.0,5.0,3.641304347826087
21,0.12695652173913044,0.026552175887062747,0.09239130434782605,0.15760869565217395,2.8,1.5175738212786563,1.0,5.0,100.0,5.0,3.641304347826087
22,0.12081521739130434,0.026746250449019366,0.09239130434782605,0.15760869565217395,3.17,1.5638272140986533,1.0,5.0,100.0,5.0,3.641304347826087
23,0.11358695652173913,0.02536819995807109,0.09239130434782605,0.15760869565217395,3.58,1.5581651991617538,1.0,5.0,100.0,5.0,3.641304347826087
24,0.11864130434782609,0.02603629935523203,0.09239130434782605,0.15760869565217395,3.29,1.5327732837552785,1.0,5.0,100.0,5.0,3.641304347826087
25,0.12119565217391302,0.027008720551906,0.09239130434782605,0.15760869565217395,3.16,1.5809471652759113,1.0,5.0,100.0,5.0,3.641304347826087
26,0.12777173913043477,0.02743609792523012,0.09239130434782605,0.15760869565217395,2.87,1.5417096636100738,1.0,5.0,100.0,5.0,3.641304347826087
27,0.12809782608695652,0.026906401742995953,0.09239130434782605,0.15760869565217395,2.81,1.5155423738281575,1.0,5.0,100.0,5.0,3.641304347826087
28,0.1291304347826087,0.026525194703499257,0.09239130434782605,0.15760869565217395,2.74,1.4949071793082922,1.0,5.0,100.0,5.0,3.641304347826087
29,0.12798913043478263,0.02516598911761538,0.09239130434782605,0.15760869565217395,2.79,1.380199078013565,1.0,5.0,100.0,5.0,3.641304347826087
30,0.12532608695652175,0.024093274175489583,0.09239130434782605,0.15760869565217395,2.88,1.320238729560038,1.0,5.0,100.0,5.0,3.641304347826087
31,0.12695652173913044,0.024397222306710622,0.09239130434782605,0.15760869565217395,2.84,1.3236008431242372,1.0,5.0,100.0,5.0,3.641304347826087
