trial,best_hyperv,best_front_percents,time_to_optimum
1,1.1168831168831166,100.0,3
2,1.1168831168831166,100.0,0
3,1.1168831168831166,100.0,3
4,1.1168831168831166,100.0,0
5,1.1168831168831166,100.0,3
6,1.1168831168831166,100.0,0
7,1.1168831168831166,100.0,2
8,1.1168831168831166,100.0,4
9,1.1168831168831166,100.0,67
10,1.1168831168831166,100.0,0
11,1.1168831168831166,100.0,1
12,1.1168831168831166,100.0,9
13,1.1168831168831166,100.0,1
14,1.1168831168831166,100.0,3
15,1.1168831168831166,100.0,86
16,1.1168831168831166,100.0,3
17,1.1168831168831166,100.0,3
18,1.1168831168831166,100.0,2
19,1.1168831168831166,100.0,3
20,1.1168831168831166,100.0,2
