generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.21625,0.06278383293823994,0.1071428571428571,0.4107142857142857,3.45,1.3586609569571049,1.0,7.0,100.0,34.0,2.3928571428571432
2,0.16946428571428573,0.06214442244798425,0.1071428571428571,0.3392857142857143,3.25,1.0952145677879515,1.0,5.0,100.0,17.0,2.5892857142857144
3,0.14285714285714282,0.06530378719283807,0.0892857142857143,0.3392857142857143,3.31,1.1520293907586374,1.0,4.0,100.0,12.0,2.7321428571428568
4,0.16214285714285712,0.0678998498554276,0.0892857142857143,0.2857142857142857,2.85,1.313296415417127,1.0,4.0,100.0,9.0,2.7321428571428568
5,0.2007142857142857,0.06426566947393776,0.0892857142857143,0.2857142857142857,1.89,1.1,1.0,4.0,100.0,9.0,2.7321428571428568
6,0.2178571428571429,0.05275349613399973,0.0892857142857143,0.25,1.48,0.7032392583932261,1.0,3.0,100.0,4.0,2.7321428571428568
7,0.19375,0.06187848051841431,0.0892857142857143,0.25,1.83,0.7920692756152944,1.0,3.0,100.0,6.0,2.75
8,0.14999999999999997,0.05431779260315843,0.0892857142857143,0.2321428571428571,2.42,0.5352239217978271,1.0,3.0,100.0,4.0,2.75
9,0.1607142857142857,0.05323971374999497,0.0892857142857143,0.2321428571428571,2.3,0.5595813731096785,1.0,3.0,100.0,4.0,2.75
10,0.1657142857142857,0.052267685487274625,0.0892857142857143,0.2321428571428571,2.24,0.5706632681858591,1.0,3.0,100.0,4.0,2.75
11,0.16035714285714284,0.055721638986390376,0.0892857142857143,0.2321428571428571,2.27,0.6333333333333333,1.0,3.0,100.0,4.0,2.75
12,0.16678571428571431,0.05468538791309736,0.0892857142857143,0.2321428571428571,2.19,0.646591685749831,1.0,3.0,100.0,4.0,2.75
13,0.16035714285714284,0.055721638986390376,0.0892857142857143,0.2321428571428571,2.27,0.6333333333333333,1.0,3.0,100.0,4.0,2.75
14,0.15499999999999997,0.059787295618533014,0.0892857142857143,0.2321428571428571,2.28,0.7258572083190239,1.0,3.0,100.0,4.0,2.75
15,0.1557142857142857,0.06175890242262842,0.0892857142857143,0.2321428571428571,2.24,0.7800543881581903,1.0,3.0,100.0,4.0,2.75
16,0.15642857142857142,0.059907852004623494,0.0892857142857143,0.2321428571428571,2.26,0.7333333333333334,1.0,3.0,100.0,4.0,2.75
17,0.15178571428571427,0.05906206184211174,0.0892857142857143,0.2321428571428571,2.33,0.6971080231639828,1.0,3.0,100.0,4.0,2.75
18,0.1382142857142857,0.05598921142064851,0.0892857142857143,0.2321428571428571,2.51,0.5945034427438948,1.0,3.0,100.0,3.0,2.75
19,0.14678571428571427,0.0587383237957429,0.0892857142857143,0.2321428571428571,2.39,0.680092091209163,1.0,3.0,100.0,3.0,2.75
20,0.15392857142857141,0.05736226815849377,0.0892857142857143,0.2321428571428571,2.33,0.652191333393457,1.0,3.0,100.0,3.0,2.75
21,0.16035714285714284,0.05709210408448843,0.0892857142857143,0.2321428571428571,2.25,0.6723244767373876,1.0,3.0,100.0,3.0,2.75
22,0.16107142857142853,0.05908823313478514,0.0892857142857143,0.2321428571428571,2.21,0.7288430017583494,1.0,3.0,100.0,3.0,2.75
23,0.16928571428571426,0.058126455313017605,0.0892857142857143,0.2321428571428571,2.1,0.7453559924999299,1.0,3.0,100.0,3.0,2.75
24,0.17714285714285716,0.05707517636920411,0.0892857142857143,0.2321428571428571,1.98,0.7651500150000295,1.0,3.0,100.0,3.0,2.75
25,0.1767857142857143,0.054050288852189786,0.0892857142857143,0.2321428571428571,2.03,0.7028800779936817,1.0,3.0,100.0,3.0,2.75
26,0.17964285714285716,0.05454384402899644,0.0892857142857143,0.2321428571428571,1.97,0.731057073315377,1.0,3.0,100.0,3.0,2.75
27,0.1825,0.05345586380731786,0.0892857142857143,0.2321428571428571,1.93,0.7282884321503675,1.0,3.0,100.0,3.0,2.75
28,0.18107142857142858,0.0554341850893499,0.0892857142857143,0.2321428571428571,1.93,0.7555184185763314,1.0,3.0,100.0,3.0,2.75
29,0.17321428571428574,0.059712903109576346,0.0892857142857143,0.2321428571428571,2.01,0.7976607212735414,1.0,3.0,100.0,3.0,2.75
30,0.17392857142857143,0.058904789901549584,0.0892857142857143,0.2321428571428571,2.01,0.7848952835000387,1.0,3.0,100.0,3.0,2.75
31,0.17000000000000004,0.0573454201926243,0.0892857142857143,0.2321428571428571,2.1,0.7316785737969477,1.0,3.0,100.0,3.0,2.75
32,0.17107142857142854,0.05947942067833255,0.0892857142857143,0.2321428571428571,2.05,0.7833494518006403,1.0,3.0,100.0,3.0,2.75
33,0.17214285714285715,0.057627812291776055,0.0892857142857143,0.2321428571428571,2.06,0.7496800664418135,1.0,3.0,100.0,3.0,2.75
34,0.17571428571428568,0.05610989158815241,0.0892857142857143,0.2321428571428571,2.02,0.7382753585556712,1.0,3.0,100.0,3.0,2.75
35,0.17857142857142858,0.053841311531743485,0.0892857142857143,0.2321428571428571,2.0,0.7106690545187014,1.0,3.0,100.0,3.0,2.75
36,0.18535714285714286,0.04753645434671529,0.0892857142857143,0.2321428571428571,1.95,0.6415731927193978,1.0,3.0,100.0,3.0,2.75
37,0.18785714285714283,0.04738035414793426,0.0892857142857143,0.2321428571428571,1.9,0.6590473688161075,1.0,3.0,100.0,3.0,2.75
38,0.18214285714285716,0.04868927220433761,0.0892857142857143,0.2321428571428571,2.0,0.6356417261637282,1.0,3.0,100.0,3.0,2.75
39,0.17714285714285716,0.05429881363940537,0.0892857142857143,0.2321428571428571,2.02,0.7103847300206168,1.0,3.0,100.0,3.0,2.75
40,0.18357142857142855,0.05114641212341613,0.0892857142857143,0.2321428571428571,1.94,0.6936945446031137,1.0,3.0,100.0,3.0,2.75
41,0.18428571428571427,0.05305061895502282,0.0892857142857143,0.2321428571428571,1.9,0.7316785737969477,1.0,3.0,100.0,3.0,2.75
42,0.18357142857142858,0.05549574186810776,0.0892857142857143,0.2321428571428571,1.88,0.7691002220225603,1.0,3.0,100.0,3.0,2.75
43,0.1832142857142857,0.05802329481943212,0.0892857142857143,0.2321428571428571,1.85,0.8087276451565163,1.0,3.0,100.0,3.0,2.75
44,0.1814285714285714,0.05836093524903124,0.0892857142857143,0.2321428571428571,1.88,0.8075402232218604,1.0,3.0,100.0,3.0,2.75
45,0.17857142857142858,0.06185895741317416,0.0892857142857143,0.2321428571428571,1.88,0.8561128973034415,1.0,3.0,100.0,3.0,2.75
46,0.1825,0.060254177139089,0.0892857142857143,0.2321428571428571,1.83,0.841535393303109,1.0,3.0,100.0,3.0,2.75
47,0.1892857142857143,0.05560706744010875,0.0892857142857143,0.2321428571428571,1.76,0.7928977668570322,1.0,3.0,100.0,3.0,2.75
48,0.1878571428571428,0.05768144451584714,0.0892857142857143,0.2321428571428571,1.76,0.8179797730328723,1.0,3.0,100.0,3.0,2.75
49,0.18928571428571428,0.05832118435198041,0.0892857142857143,0.2321428571428571,1.72,0.8297498710363554,1.0,3.0,100.0,3.0,2.75
50,0.19249999999999998,0.05695654149478895,0.0892857142857143,0.2321428571428571,1.67,0.8171767114754176,1.0,3.0,100.0,3.0,2.75
51,0.18607142857142858,0.05947942067833255,0.0892857142857143,0.2321428571428571,1.77,0.8391313449880264,1.0,3.0,100.0,4.0,2.75
52,0.1875,0.058843515072866705,0.0892857142857143,0.2321428571428571,1.75,0.8333333333333334,1.0,3.0,100.0,4.0,2.75
53,0.18,0.058853367115753674,0.0892857142857143,0.2321428571428571,1.9,0.8102873913406629,1.0,3.0,100.0,4.0,2.75
