generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.13456521739130434,0.038562399789333186,0.09782608695652173,0.3315217391304348,4.97,2.157697051408414,1.0,10.0,100.0,44.0,3.5271739130434776
2,0.12951086956521737,0.02719098058648189,0.09239130434782605,0.1630434782608695,4.36,2.31167436803681,1.0,9.0,100.0,30.0,3.614130434782609
3,0.12717391304347825,0.026936822529987994,0.09239130434782605,0.15760869565217395,4.03,2.3760377849595646,1.0,9.0,100.0,22.0,3.6249999999999996
4,0.12097826086956522,0.024177333385199135,0.09239130434782605,0.15760869565217395,3.65,2.0369069441164704,1.0,9.0,100.0,16.0,3.6141304347826084
5,0.12070652173913043,0.024086772111405634,0.09239130434782605,0.15760869565217395,3.57,1.9962338277239706,1.0,9.0,100.0,11.0,3.6141304347826084
6,0.1325,0.023184030796107515,0.09239130434782605,0.15760869565217395,2.48,1.540562667772179,1.0,9.0,100.0,11.0,3.6249999999999996
7,0.1330434782608696,0.023334110740819886,0.09239130434782605,0.15760869565217395,2.47,1.520599297060939,1.0,8.0,100.0,9.0,3.6249999999999996
8,0.1309782608695652,0.02416350845432451,0.09239130434782605,0.15760869565217395,2.64,1.8007854627434892,1.0,8.0,100.0,9.0,3.6249999999999996
9,0.12809782608695652,0.024049087502996,0.09239130434782605,0.15760869565217395,2.79,1.8107144635990702,1.0,8.0,100.0,9.0,3.6249999999999996
10,0.13271739130434784,0.024258149758687696,0.09239130434782605,0.15760869565217395,2.5,1.6787441193290353,1.0,8.0,100.0,9.0,3.6249999999999996
11,0.13108695652173913,0.025057932532731385,0.09239130434782605,0.15760869565217395,2.73,1.8632815626786472,1.0,8.0,100.0,9.0,3.6249999999999996
12,0.13391304347826088,0.02365210771387571,0.09239130434782605,0.15760869565217395,2.39,1.3325376413657384,1.0,6.0,100.0,8.0,3.635869565217391
13,0.1332608695652174,0.024163261508673733,0.09239130434782605,0.15760869565217395,2.54,1.4028830343548988,1.0,6.0,100.0,8.0,3.635869565217391
14,0.13,0.0244358351978613,0.09239130434782605,0.15760869565217395,2.74,1.4398372523071188,1.0,6.0,100.0,8.0,3.635869565217391
15,0.13059782608695653,0.0239645784566098,0.09239130434782605,0.15760869565217395,2.63,1.4259853938362563,1.0,6.0,100.0,8.0,3.635869565217391
16,0.1279891304347826,0.02554254383026258,0.09239130434782605,0.15760869565217395,2.89,1.6446730662808018,1.0,6.0,100.0,8.0,3.635869565217391
17,0.12842391304347825,0.02537002282767062,0.09239130434782605,0.15760869565217395,2.83,1.6333333333333333,1.0,6.0,100.0,8.0,3.635869565217391
18,0.12565217391304348,0.024320794015774517,0.09239130434782605,0.15760869565217395,2.92,1.5484107199240638,1.0,6.0,100.0,8.0,3.635869565217391
19,0.12570652173913044,0.023400185228516418,0.09239130434782605,0.15760869565217395,2.84,1.468318628894831,1.0,6.0,100.0,8.0,3.635869565217391
20,0.12407608695652174,0.023468934186634108,0.09239130434782605,0.15760869565217395,2.92,1.5220931892521157,1.0,6.0,100.0,8.0,3.635869565217391
21,0.12277173913043476,0.023418538017909243,0.09239130434782605,0.15760869565217395,3.02,1.5697905670000774,1.0,6.0,100.0,8.0,3.635869565217391
22,0.11684782608695653,0.02219412952872445,0.09239130434782605,0.15760869565217395,3.48,1.6543789460004912,1.0,6.0,100.0,8.0,3.635869565217391
23,0.11717391304347824,0.023203840383663535,0.09239130434782605,0.15760869565217395,3.58,1.694792976243185,1.0,6.0,100.0,8.0,3.635869565217391
24,0.11624999999999998,0.021503096644469793,0.09239130434782605,0.15760869565217395,3.55,1.5851265762160014,1.0,6.0,100.0,8.0,3.635869565217391
25,0.11690217391304347,0.02141411352101268,0.09239130434782605,0.15760869565217395,3.49,1.5142087976327052,1.0,6.0,100.0,8.0,3.635869565217391
26,0.11967391304347824,0.023096356743675172,0.09239130434782605,0.15760869565217395,3.35,1.5398740601789878,1.0,6.0,100.0,8.0,3.635869565217391
27,0.12168478260869567,0.023505010359921388,0.09239130434782605,0.15760869565217395,3.2,1.5242153139344596,1.0,6.0,100.0,8.0,3.635869565217391
28,0.1191304347826087,0.02306662686611176,0.09239130434782605,0.15760869565217395,3.4,1.5699192541804385,1.0,6.0,100.0,7.000000000000001,3.635869565217391
29,0.12010869565217389,0.024311223585353897,0.09239130434782605,0.15760869565217395,3.37,1.6796764960292596,1.0,6.0,100.0,7.000000000000001,3.635869565217391
30,0.12016304347826087,0.024340597753026202,0.09239130434782605,0.15760869565217395,3.35,1.6476184220402688,1.0,6.0,100.0,7.000000000000001,3.635869565217391
31,0.12130434782608696,0.02468123717182166,0.09239130434782605,0.15760869565217395,3.27,1.6688167949027524,1.0,6.0,100.0,7.000000000000001,3.635869565217391
32,0.12222826086956523,0.025776486096691427,0.09239130434782605,0.15760869565217395,3.31,1.750584318033683,1.0,6.0,100.0,7.000000000000001,3.635869565217391
33,0.12059782608695652,0.02561625882889307,0.09239130434782605,0.15760869565217395,3.41,1.7871313280893444,1.0,6.0,100.0,7.000000000000001,3.635869565217391
34,0.12255434782608697,0.026729736076941908,0.09239130434782605,0.15760869565217395,3.34,1.85983598712088,1.0,6.0,100.0,7.000000000000001,3.635869565217391
35,0.12331521739130435,0.026977717292932725,0.09239130434782605,0.15760869565217395,3.3,1.8229734839630343,1.0,6.0,100.0,7.000000000000001,3.635869565217391
36,0.1203804347826087,0.025763519299507067,0.09239130434782605,0.15760869565217395,3.46,1.7198778439121187,1.0,6.0,100.0,7.000000000000001,3.635869565217391
37,0.12005434782608695,0.0271255058520265,0.09239130434782605,0.15760869565217395,3.59,1.8699916274862534,1.0,6.0,100.0,7.000000000000001,3.635869565217391
38,0.1179891304347826,0.02632393777943888,0.09239130434782605,0.15760869565217395,3.72,1.820644796424463,1.0,6.0,100.0,7.000000000000001,3.635869565217391
39,0.12168478260869567,0.02602300342287734,0.09239130434782605,0.15760869565217395,3.4,1.7407765595569784,1.0,6.0,100.0,7.000000000000001,3.635869565217391
40,0.12076086956521742,0.026156628159853233,0.09239130434782605,0.15760869565217395,3.45,1.8333333333333335,1.0,6.0,100.0,7.000000000000001,3.635869565217391
41,0.12103260869565219,0.026465908373019275,0.09239130434782605,0.15760869565217395,3.43,1.8326720570486332,1.0,6.0,100.0,8.0,3.635869565217391
42,0.11983695652173912,0.025971130198517683,0.09239130434782605,0.15760869565217395,3.56,1.7656658114081942,1.0,6.0,100.0,7.000000000000001,3.635869565217391
43,0.12005434782608695,0.026036757714557542,0.09239130434782605,0.15760869565217395,3.52,1.7551079853969214,1.0,6.0,100.0,7.000000000000001,3.635869565217391
44,0.11467391304347824,0.024002457897983095,0.09239130434782605,0.15760869565217395,3.88,1.6774198561294584,1.0,6.0,100.0,7.000000000000001,3.635869565217391
45,0.11201086956521739,0.022822361512912392,0.09239130434782605,0.15760869565217395,4.06,1.6069294390925266,1.0,6.0,100.0,7.000000000000001,3.635869565217391
46,0.11701086956521739,0.021635333559850107,0.09239130434782605,0.15760869565217395,3.6,1.3632996217214537,1.0,6.0,100.0,12.0,3.641304347826087
47,0.12233695652173913,0.019179812483163364,0.09239130434782605,0.15760869565217395,3.03,0.9687542766279014,1.0,5.0,100.0,6.0,3.641304347826087
48,0.11994565217391305,0.019035536748809322,0.09239130434782605,0.15760869565217395,3.15,1.0187633620614691,1.0,5.0,100.0,6.0,3.641304347826087
49,0.12081521739130435,0.0195550741042029,0.09239130434782605,0.15760869565217395,3.17,0.9954949025535494,1.0,5.0,100.0,6.0,3.641304347826087
50,0.12005434782608697,0.019079997365794348,0.09239130434782605,0.15760869565217395,3.23,0.9304609480024274,1.0,5.0,100.0,6.0,3.641304347826087
51,0.11864130434782609,0.02061276954132265,0.09239130434782605,0.15760869565217395,3.33,1.0736043324364255,1.0,5.0,100.0,6.0,3.641304347826087
